date,NVIDIA,NVIDIA stock,NVDA stock,AI,GPU
2023-12-31,4,0,0,45,2
2024-01-07,5,1,1,47,2
2024-01-14,4,1,1,53,2
2024-01-21,5,1,1,50,2
2024-01-28,5,1,1,50,2
2024-02-04,6,1,1,48,2
2024-02-11,6,1,1,51,2
2024-02-18,11,3,2,55,2
2024-02-25,8,2,1,52,2
2024-03-03,7,2,1,54,2
2024-03-10,6,2,1,55,2
2024-03-17,8,2,1,52,2
2024-03-24,6,1,1,54,2
2024-03-31,5,1,1,50,2
2024-04-07,5,1,1,52,2
2024-04-14,5,1,1,53,2
2024-04-21,5,1,1,55,2
2024-04-28,5,1,1,53,2
2024-05-05,4,1,1,51,2
2024-05-12,5,1,1,55,2
2024-05-19,9,3,2,56,2
2024-05-26,7,2,1,56,2
2024-06-02,10,3,2,58,2
2024-06-09,10,3,2,58,2
2024-06-16,10,3,2,53,2
2024-06-23,9,3,2,51,2
2024-06-30,6,2,1,49,2
2024-07-07,7,2,1,52,2
2024-07-14,7,2,1,51,2
2024-07-21,7,2,1,51,2
2024-07-28,7,2,2,54,2
2024-08-04,9,3,2,55,2
2024-08-11,7,2,1,57,2
2024-08-18,7,2,1,59,2
2024-08-25,12,3,2,61,2
2024-09-01,9,2,1,57,2
2024-09-08,7,2,1,60,2
2024-09-15,6,2,1,63,2
2024-09-22,6,2,1,63,2
2024-09-29,6,1,1,61,2
2024-10-06,7,2,1,62,2
2024-10-13,7,2,1,64,2
2024-10-20,7,2,1,66,2
2024-10-27,6,2,1,65,2
2024-11-03,7,2,1,70,2
2024-11-10,7,2,1,69,3
2024-11-17,10,3,2,73,3
2024-11-24,7,1,1,65,3
2024-12-01,7,2,1,70,3
2024-12-08,7,2,1,74,3
2024-12-15,7,2,1,65,3
2024-12-22,7,1,1,62,3
2024-12-29,6,1,1,61,3
2025-01-05,12,2,1,72,3
2025-01-12,8,2,1,69,3
2025-01-19,7,2,1,75,3
2025-01-26,24,9,3,81,3
2025-02-02,11,3,2,81,3
2025-02-09,8,2,1,79,3
2025-02-16,7,2,1,80,3
2025-02-23,11,3,2,81,3
2025-03-02,9,3,2,78,3
2025-03-09,8,2,2,79,3
2025-03-16,8,2,1,81,3
2025-03-23,7,2,1,85,3
2025-03-30,8,3,2,99,3
2025-04-06,9,3,2,86,3
2025-04-13,8,2,2,81,3
2025-04-20,7,2,1,84,3
2025-04-27,6,2,1,81,3
2025-05-04,6,1,1,80,2
2025-05-11,7,2,2,84,3
2025-05-18,7,2,1,89,3
2025-05-25,8,2,2,85,3
2025-06-01,7,2,1,89,3
2025-06-08,7,1,1,93,3
2025-06-15,6,1,1,91,3
2025-06-22,7,2,1,89,3
2025-06-29,6,1,1,100,3
